id,title_romaji,title_english,episodes,duration,genres
21754,Shiiku x Kanojo,,4,17,"['Hentai', 'Horror']"
21755,Time Bokan 24,Time Bokan 24,24,24,"['Action', 'Comedy', 'Sci-Fi']"
21756,Infini-T Force,Infini-T Force,12,22,['Action']
21757,Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,The Moment You Fall in Love,1,63,"['Drama', 'Romance', 'Slice of Life']"
21758,Nama LO Re: Nama Kemono THE ANIMATION,,1,20,"['Hentai', 'Romance']"
21759,Star Mu OVA,STARMYU OVA,2,23,"['Comedy', 'Music', 'Slice of Life']"
21760,Kaijuu Girls: Ultra Kaijuu Gijinka Keikaku,,12,5,"['Comedy', 'Fantasy']"
21761,"Neko mo, Onda-ke","Neko mo, Onda-ke",12,1,"['Comedy', 'Slice of Life']"
21762,Mashou no Nie 3,,2,34,['Hentai']
21763,Houkago Initiation,,2,20,"['Hentai', 'Romance']"
21764,WWW.WORKING!!,WWW.WAGNARIA!!,13,24,"['Comedy', 'Romance', 'Slice of Life']"
21765,Owari no Seraph: Nagoya Kessen-hen - Owaranai Seraph Nagoya Kessen-hen,Seraph of the End: Battle in Nagoya - Owaranai Seraph Battle in Nagoya,4,5,"['Comedy', 'Supernatural']"
21766,Zegapain ADP,Zegapain ADP,1,120,"['Action', 'Mecha', 'Romance', 'Sci-Fi']"
21767,Yukidoke,Yukidoke,1,7,['Horror']
21768,Osiris no Tenbin 2,Osiris no Tenbin 2,11,5,[]
21769,"Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku: Kitto, Onnanoko wa Osatou to Spice to Suteki na Nanika de Dekiteiru",My Teen Romantic Comedy SNAFU TOO! OVA,1,24,"['Comedy', 'Romance', 'Slice of Life']"
21770,PEACE MAKER Kurogane: Omou-michi,Peacemaker Kurogane: Belief,1,60,"['Action', 'Drama']"
21771,planetarian: Hoshi no Hito,Planetarian: Storyteller of the Stars,1,117,"['Drama', 'Fantasy', 'Sci-Fi']"
21772,Lostorage incited WIXOSS,Lostorage incited WIXOSS,12,24,['Psychological']
21773,Fukumenkei Noise,Anonymous Noise,12,23,"['Music', 'Romance']"
21774,Oji-san to Marshmallow: Hige-san to Yume Marshmallow,Ojisan to Marshmallow: Hige-san and Marshmallow,1,4,"['Comedy', 'Slice of Life']"
21775,Nijiiro Days OAD,Rainbow Days OAD,1,22,"['Comedy', 'Romance', 'Slice of Life']"
21776,Kobayashi-san Chi no Maidragon,Miss Kobayashi's Dragon Maid,13,24,"['Comedy', 'Fantasy', 'Slice of Life']"
21777,Musaigen no Phantom World: Mizutama no Kiseki,Myriad Colors Phantom World: The Polka Dot Miracle,1,24,"['Action', 'Comedy', 'Ecchi', 'Supernatural']"
21778,Kishibe Rohan wa Ugokanai,Thus Spoke Rohan Kishibe,4,23,"['Horror', 'Mystery', 'Supernatural']"
21779,Naze Ikiru: Rennyo Shounin to Yoshizaki Enjou,,1,83,[]
21780,Re:Zero kara Hajimeru Kyuukei Jikan (Break Time),Re:ZERO ~Starting Break Time From Zero~,11,3,"['Adventure', 'Comedy', 'Fantasy']"
21781,Sore Ike! Sabuibo Mask,,8,1,"['Comedy', 'Slice of Life']"
21782,Fudanshi Koukou Seikatsu,The Highschool Life of a Fudanshi,12,4,"['Comedy', 'Slice of Life']"
21783,Star Fox Zero: The Battle Begins,Star Fox Zero: The Battle Begins,1,15,"['Action', 'Sci-Fi']"
21784,Kuma Miko Specials,Kumamiko -Girl Meets Bear Specials,2,16,['Comedy']
21785,Fella Hame Lips,,2,20,"['Hentai', 'Romance']"
21786,Tanaka-kun wa Itsumo Kedaruge Tokuten,Tanaka-kun is Always Listless Shorts,7,5,"['Comedy', 'Slice of Life']"
21787,Battle Girl High School,Battle Girl High School,12,23,"['Action', 'Sci-Fi']"
21788,Hirune Hime: Shiranai Watashi no Monogatari,Napping Princess,1,111,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mecha', 'Sci-Fi']"
21789,Sansha Sanyou Specials,"Three Leaves, Three Colors Specials",3,6,"['Comedy', 'Slice of Life']"
21790,Joker Game: Kuroneko Yoru no Bouken,,2,5,['Mystery']
21791,Bungou Stray Dogs: Hitori Ayumu,Bungo Stray Dogs 2: Walking Alone,1,25,"['Action', 'Comedy', 'Mystery', 'Supernatural']"
21792,Zekkyou Gakkyuu: Tensei,,2,2,"['Horror', 'Supernatural']"
21793,Kagerou Daze: in a days,,1,23,"['Comedy', 'Romance', 'Sci-Fi', 'Slice of Life', 'Supernatural']"
21794,Meiji Tokyo Renka: Hanakagami no Fantasia,,1,60,"['Drama', 'Romance', 'Supernatural']"
21795,Honobono Log,,10,2,"['Romance', 'Slice of Life']"
21796,Koneko no Chii: Ponponra Daibouken,Chi's Sweet Adventure,51,13,"['Comedy', 'Slice of Life']"
21797,Ameiro Cocoa in Hawaii,Rainy Cocoa in Hawaii,12,2,"['Comedy', 'Slice of Life']"
21798,K SEVEN STORIES: R:B ~BLAZE~,"K: SEVEN STORIES ""R:B - BLAZE -""",1,61,"['Action', 'Supernatural']"
21799,Ajin 2,AJIN: Demi-Human 2,13,24,"['Action', 'Horror', 'Mystery', 'Supernatural']"
21800,Tanaka-kun wa Kyou mo Kedaruge,Tanaka-kun wa Kyou mo Kedaruge,35,1,['Comedy']
21801,Avabel Online,,,,['Fantasy']
21802,Kiitarou Shounen no Youkai Enikki,Kiitaro's yokai picture diary,12,5,"['Comedy', 'Romance', 'Slice of Life']"
21803,Kubikiri Cycle: Aoiro Savant to Zaregotozukai,Kubikiri Cycle: The Blue Savant and the Nonsense User,8,30,"['Drama', 'Mystery', 'Psychological', 'Thriller']"
21804,Saiki Kusuo no Ψ-nan,The Disastrous Life of Saiki K.,120,5,"['Comedy', 'Slice of Life', 'Supernatural']"
21805,PINKERTON,,3,23,['Hentai']
21806,Yowamushi Pedal: SPARE BIKE,,1,60,"['Comedy', 'Drama', 'Sports']"
21807,Tsubasa to Hotaru (2015),,4,2,['Romance']
21808,Tsubasa to Hotaru (2016),Tsubasa to Hotaru (2016),3,2,['Romance']
21809,Gra-P & Rodeo,Gra-P & Rodeo,61,2,"['Comedy', 'Music']"
21810,Gra-P & Rodeo 2nd Season,Gra-P & Rodeo 2nd Season,27,2,"['Comedy', 'Music']"
21811,Konnichiwa Onara Gorou,Konnichiwa Onara Gorou,1,3,['Comedy']
21812,Onara Gorou,Onara Gorou,13,3,['Comedy']
21813,Gochuumon wa Usagi desu ka?? Dear My Sister,Is the Order a Rabbit?? ～Dear My Sister～,1,60,"['Comedy', 'Slice of Life']"
21814,GUNDAM BUILD FIGHTERS TRY: Island Wars,,1,36,"['Action', 'Mecha', 'Sci-Fi']"
21815,Strike the Blood II,,8,25,"['Action', 'Ecchi', 'Fantasy']"
21817,Arslan Senki (TV) OVA,,2,24,"['Adventure', 'Fantasy']"
21818,Aishen Qiaokeli-ING...,,15,15,"['Comedy', 'Ecchi', 'Romance']"
21819,JK Bitch ni Shiboraretai,,2,16,['Hentai']
21820,Digimon Universe: Appli Monsters,Digimon Universe App Monsters,52,24,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']"
21821,Lupin III: Italian Game,,1,91,"['Action', 'Adventure', 'Comedy']"
21822,Lupin III: PART IV Specials,,2,25,"['Action', 'Adventure', 'Comedy']"
21823,ACCA: 13-ku Kansatsu-ka,ACCA: 13-Territory Inspection Dept.,12,24,"['Drama', 'Mystery', 'Slice of Life']"
21824,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,Time Travel Girl,12,24,"['Adventure', 'Sci-Fi']"
21825,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,11,24,"['Action', 'Drama', 'Horror', 'Mystery', 'Psychological', 'Sci-Fi', 'Thriller']"
21826,Adventures in Beauty Wonderland,Adventures in Beauty Wonderland,1,5,"['Horror', 'Psychological']"
21827,Violet Evergarden,Violet Evergarden,13,24,"['Drama', 'Fantasy', 'Slice of Life']"
21828,Shoujo Ramune,,4,19,['Hentai']
21829,"""Eiyuu"" Kaitai",,1,28,['Fantasy']
21830,Atom: The Beginning,Atom: The Beginning,12,25,"['Mecha', 'Sci-Fi']"
21831,ONE PIECE: Heart of Gold,One Piece: Heart of Gold,1,104,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
21832,"TRICKSTER: Edogawa Ranpo ""Shounen Tantei-dan"" yori",Trickster,24,23,"['Adventure', 'Drama', 'Mystery', 'Psychological', 'Sci-Fi']"
21833,"Haikara-san ga Tooru: Benio, Hana no 17-sai",Haikara-san: Here Comes Miss Modern – Part 1,1,97,"['Comedy', 'Drama', 'Romance']"
21834,OVA Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,OVA Twin Angel: Twinkle Paradise,2,25,['Mahou Shoujo']
21835,Mahou Shoujo? Naria☆Girls,,12,9,"['Comedy', 'Mahou Shoujo']"
21836,Super Lovers 2,SUPER LOVERS 2,10,24,"['Comedy', 'Drama', 'Romance']"
21837,Gakuen Handsome,Gakuen Handsome,12,3,"['Comedy', 'Romance']"
21838,Shuumatsu no Izetta,Izetta: The Last Witch,12,25,"['Action', 'Drama']"
21839,12-sai.: Chiccha na Mune no Tokimeki 2,,12,24,['Romance']
21840,Yi Ren Zhi Xia,Hitori no Shita - The Outcast,12,24,"['Action', 'Adventure', 'Supernatural']"
21842,Piace: Watashi no Italian,Piacevole,12,4,"['Comedy', 'Slice of Life']"
21843,RedAsh,Red Ash -GEARWORLD-,1,23,"['Action', 'Fantasy']"
21844,Charanpo Land no Bouken,Charanpo Land no Bouken,1,,[]
21845,Genbanojou,Genbanojo,1,25,[]
21846,Zunda Horizon,,1,24,[]
21847,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: THE FINAL - Ryoutsu Kakichi Saigo no Hi,,1,48,['Comedy']
21848,Heybot!,,50,23,"['Comedy', 'Sci-Fi']"
21849,"Wake Up, Girls! no Miyagi PR Yarasete Kudasai!",,1,7,['Music']
21850,Magic-kyun! Renaissance,Magic-Kyun! Renaissance,13,23,"['Music', 'Romance']"
21851,Busou Shoujo Machiavellianism,Armed Girl's Machiavellism,12,24,"['Action', 'Comedy', 'Ecchi', 'Romance']"
21852,To LOVE-Ru Darkness 2nd Specials,To Love Ru Darkness 2 Specials,2,24,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']"
21853,To LOVE-Ru Darkness 2nd OVA,,3,25,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']"
21854,Bernard-jou Iwaku.,Miss Bernard said.,12,4,"['Comedy', 'Slice of Life']"
21855,UQ Holder!: Mahou Sensei Negima! 2,UQ Holder!,12,24,"['Action', 'Fantasy', 'Sci-Fi']"
21856,Boku no Hero Academia 2,My Hero Academia Season 2,25,24,"['Action', 'Adventure', 'Comedy']"
21857,Masamune-kun no Revenge,Masamune-kun's Revenge,12,24,"['Comedy', 'Romance', 'Slice of Life']"
21858,Little Witch Academia (TV),Little Witch Academia (TV),25,24,"['Comedy', 'Fantasy']"
21859,Kaitou Joker 4,Mysterious Joker Season 4,13,24,"['Action', 'Comedy', 'Mystery']"
21860,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,12,24,"['Drama', 'Fantasy', 'Mystery', 'Romance', 'Slice of Life', 'Supernatural']"
21861,Ao no Exorcist: Kyoto Fujouou-hen,Blue Exorcist: Kyoto Saga,12,24,"['Action', 'Fantasy', 'Supernatural']"
21862,Sakamoto desu ga?: Sakamoto Deshita?,Haven't You Heard? I'm Sakamoto: Haven’t You Heard? I was Sakamoto,1,24,"['Comedy', 'Slice of Life']"
21863,Puchitto Gargantia Special,,1,4,"['Comedy', 'Mecha', 'Sci-Fi']"
21864,Koro-sensei Q!,,1,9,['Comedy']
21865,Twin Angel Break,Twin Angels BREAK,12,23,"['Comedy', 'Mahou Shoujo']"
21866,Ima kara Atashi...,,2,19,['Hentai']
21867,Nama LO Re: Furachimono THE ANIMATION,,1,20,['Hentai']
21868,Enkou Shoujo: Rikujoubu Yukki no Baai THE ANIMATION,,1,30,['Hentai']
21869,misuzu: Ikenai Koto,,1,20,['Hentai']
21870,Tsumamigui 3 THE ANIMATION,Wife Eater 3,2,28,['Hentai']
21871,ViVid Strike!,ViVid Strike!,12,24,"['Action', 'Drama', 'Mahou Shoujo', 'Sports']"
21872,Idol Memories,,12,26,['Music']
21873,Soushin Shoujo Matoi,Matoi the Sacred Slayer,12,24,['Mahou Shoujo']
21874,Trinity Seven Movie - Yuukyuu Toshokan to Renkinjutsu Shoujo,Trinity Seven: Eternal Library & Alchemic Girl,1,56,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Romance']"
21875,No Game No Life Zero,"No Game, No Life Zero",1,110,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
21876,Nazotokine,,12,8,['Mystery']
21877,"Ima, Futari no Michi",,1,6,['Drama']
21878,Gabriel Dropout,Gabriel DropOut,12,24,"['Comedy', 'Slice of Life', 'Supernatural']"
